,image,image_size,bg_type,inference_time,pred_cls,pred_lbl,object_count,f_S,f_0,delta_f,f_T,f_N,method,aucI_pred,aucD_pred,aucI_r,aucD_r,aucI_adj,aucD_adj,aucI_adj_r,aucD_adj_r,aucI_clip,aucI_clipr,aucD_clip,aucD_clipr,threshold,best_point,max_IoU,auc_IoU,time_load,time_exp,time_aucI,time_aucD,time_auc_IoU,time_total
1715,314709,"(426, 640, 3)",gray,11.13438606262207,0,person,1,0.9074885249137878,0.0,0.9074885249137878,0.9074885249137875,52,AA-1000,0.9011626608359318,0.08235407589187084,0.993029262735353,0.09074944049534353,0.8874493402673779,0.08235407589187084,0.9779179746120604,0.09074944049534353,0.8943060005516549,0.9854736186737069,0.08235407589187084,0.09074944049534353,3.287518421842688e-05,0.04693368544600939,0.5274662064998562,0.10081292552838376,0.13209271430969238,12.363682985305786,0.5957367420196533,0.5777747631072998,0.4049980640411377,14.07428526878357
1716,314709,"(426, 640, 3)",gray,11.13438606262207,0,person,1,0.9074885249137878,0.0,0.9074885249137878,0.9074886441230774,198,LIME-100,0.775679190765887,0.11645113159700171,0.8547537180589441,0.12832242876907415,0.7746226063659503,0.11645113159700171,0.8535894230062469,0.12832242876907415,0.7751508985659188,0.8541715705325953,0.11645113159700171,0.12832242876907415,3.506989393965667e-05,0.05071889671361502,0.2344009752853818,0.07334554158114334,0.13209271430969238,12.561898231506348,1.4886009693145752,1.4693036079406738,0.3818848133087158,16.033780336380005
1717,314709,"(426, 640, 3)",gray,11.13438606262207,0,person,1,0.9074885249137878,0.0,0.9074885249137878,0.9074884653091431,198,LIME-500,0.7926890711499565,0.044396560854866575,0.8734976249151613,0.04892244875392148,0.7926890711499565,0.044396560854866575,0.8734976249151613,0.04892244875392148,0.7926890711499565,0.8734976249151613,0.044396560854866575,0.04892244875392148,2.2694001496197626e-05,0.034785798122065725,0.6108515989938915,0.10237767273487547,0.13209271430969238,22.45438838005066,1.4812555313110352,1.478219747543335,0.3904547691345215,25.936411142349243
1718,314709,"(426, 640, 3)",gray,11.13438606262207,0,person,1,0.9074885249137878,0.0,0.9074885249137878,0.9074884653091431,198,LIME-1000,0.8890951150693788,0.053209122161144866,0.979731523496502,0.058633382902775304,0.8883178738429005,0.053209122161144866,0.9788750485052042,0.058633382902775304,0.8887064944561395,0.9793032860008533,0.053209122161144866,0.058633382902775304,2.5468819533903743e-05,0.03478213028169014,0.6109064774054442,0.10705206390172325,0.13209271430969238,36.23763966560364,1.4939591884613037,1.5129060745239258,0.37518310546875,39.75178074836731
1719,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692508,16,BPT-100,0.5811797032441547,0.04773072290076859,0.6102177200576439,0.050115536971830965,0.5811797032441547,0.04773072290076859,0.6102177200576439,0.050115536971830965,0.5811797032441547,0.6102177200576439,0.04773072290076859,0.050115536971830965,2.5798742960932867e-05,0.1002237382629108,0.39070445243705815,0.1302286859060769,0.12477612495422363,2.1839139461517334,0.3703019618988037,0.34525394439697266,0.44145941734313965,3.465705394744873
1720,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692504,39,BPT-500,0.6090705128854466,0.002979786045621948,0.6395020639101009,0.0031286678403755763,0.6090586474670334,0.002979786045621948,0.6394896056488589,0.0031286678403755763,0.60906458017624,0.6394958347794799,0.002979786045621948,0.0031286678403755763,3.535996196044577e-05,0.040980780516431926,0.6338020151420277,0.14323541122882652,0.12477612495422363,7.3500707149505615,0.6706085205078125,0.6020541191101074,0.3819899559020996,9.129499435424805
1721,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692505,60,BPT-1000,0.5307701814896209,0.0024295910840915094,0.5572895409375875,0.0025509829812206397,0.5307701814896209,0.0024295910840915094,0.5572895409375875,0.0025509829812206397,0.5307701814896209,0.5572895409375875,0.0024295910840915094,0.0025509829812206397,2.8382895720157785e-05,0.040980780516431926,0.6338020151420277,0.1492245999343852,0.12477612495422363,13.654809474945068,0.7523281574249268,0.7537946701049805,0.4089627265930176,15.694671154022217
1722,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692506,16,AA-100,0.9051846335051763,0.08800576268717158,0.9504112070766785,0.0924028756667356,0.8999127958651999,0.08800576268717158,0.9448759677570268,0.0924028756667356,0.9025487146851882,0.9476435874168525,0.08800576268717158,0.0924028756667356,2.766170746968521e-05,0.12499633215962441,0.49468531873606164,0.1587957242158505,0.12477612495422363,1.2314536571502686,0.3703024387359619,0.34684324264526367,0.46994972229003906,2.543325185775757
1723,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692506,38,AA-500,0.873758125223849,0.013814224221004713,0.9174145072164495,0.01450443702946256,0.8678344849086075,0.013814224221004713,0.9111948986041203,0.01450443702946256,0.8707963050662283,0.9143047029102849,0.013814224221004713,0.01450443702946256,1.9997665981447106e-05,0.07408670774647887,0.6319318280128039,0.18895887545443382,0.12477612495422363,6.061095237731934,0.5505084991455078,0.554633378982544,0.4015164375305176,7.692529678344727
1724,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692504,58,AA-1000,0.8717037933384518,0.006537409045650438,0.9152575328549031,0.006864043635132146,0.8657525147009695,0.006537409045650438,0.9090089050013824,0.006864043635132146,0.8687281540197107,0.9121332189281428,0.006537409045650438,0.006864043635132146,1.2903377872166612e-05,0.07825704225352113,0.6723611170876543,0.18963353270109803,0.12477612495422363,11.404541254043579,0.5199141502380371,0.5814483165740967,0.3974730968475342,13.02815294265747
